date,time,T26 Jae Deg. C Data,T26 Jae Cnts Data,T27 Jae Deg. C Data,T27 Jae Cnts Data,T28 Jae Deg. C Data,T28 Jae Cnts Data,T29 Jae Deg. C Data,T29 Jae Cnts Data,T30 Jae Deg. C Data,T30 Jae Cnts Data,T31 Jae Deg. C Data,T31 Jae Cnts Data,T32 Jae Deg. C Data,T32 Jae Cnts Data,T34 Jae Deg. C Data,T34 Jae Cnts Data,T35 Jae Deg. C Data,T35 Jae Cnts Data,T36 Jae Deg. C Data,T36 Jae Cnts Data,T37 Jae Deg. C Data,T37 Jae Cnts Data,T38 Jae Deg. C Data,T38 Jae Cnts Data,T39 Jae Deg. C Data,T39 Jae Cnts Data,T40 Jae Deg. C Data,T40 Jae Cnts Data,T41 Jae Deg. C Data,T41 Jae Cnts Data
9/27/2023,16:35:00,37.29,151,38.9,165,37.23,278,37.45,147,38.49,343,37.92,380,37.6,133,,,,,,,,,,,,,,,,
9/27/2023,16:40:00,36.96,42,39.24,80,37.07,85,37.55,196,38.52,319,38.02,155,37.8,160,,,,,,,,,,,,,,,,
9/27/2023,16:45:00,37.36,185,39.23,166,37.34,72,37.84,167,38.61,318,38.05,393,37.78,103,,,,,,,,,,,,,,,,
9/27/2023,16:50:00,38.64,440,40.67,387,38.1,337,39.25,387,38.99,353,38.29,416,38.46,263,,,,,,,,,,,,,,,,
9/27/2023,16:55:00,38.67,408,40.7,311,38.61,343,39.63,451,39.38,405,38.74,445,39.15,436,,,,,,,,,,,,,,,,
9/27/2023,17:00:00,38.57,351,40.58,334,38.61,346,39.44,285,39.36,437,38.73,480,39.01,344,,,,,,,,,,,,,,,,
9/27/2023,17:05:00,38.17,236,40.43,332,38.53,290,39.61,324,39.29,360,38.67,331,38.94,289,,,,,,,,,,,,,,,,
9/27/2023,17:10:00,38.21,302,40.27,244,38.5,283,39.44,349,39.27,445,38.44,311,38.76,321,,,,,,,,,,,,,,,,
9/27/2023,17:15:00,38.19,199,40.21,325,38.51,342,38.94,204,39.14,410,38.45,415,38.5,182,,,,,,,,,,,,,,,,
9/27/2023,17:20:00,38.24,290,40.27,254,38.34,365,38.8,219,39.04,384,38.24,268,38.53,294,,,,,,,,,,,,,,,,
9/27/2023,17:25:00,38.23,344,40.28,187,38.45,316,38.92,377,38.96,334,38.18,216,38.4,269,,,,,,,,,,,,,,,,
9/27/2023,17:30:00,38.12,328,40.37,238,37.95,217,38.73,274,38.97,387,38.25,347,37.74,112,,,,,,,,,,,,,,,,
